Range,Standard?,Peak,Route,Difficulty,Snow Route,RT in Miles,Total Gain,Grade,Risk Factor (Exposure),Risk Factor (Rockfall),Risk Factor (Route-Finding),Risk Factor (Commitment),Road Type (0-5),Link
Front,Standard,Grays Peak,North Slopes,Class 1,,7.50,3000,15.15,Low,Low,Low,Low,2,https://www.14ers.com/route.php?route=gray1
Front,Standard,Torreys Peak,South Slopes,Class 1,,7.75,3000,14.66,Low,Low,Low,Low,2,https://www.14ers.com/route.php?route=torr2
Front,Standard,Grays Peak,Grays and Torreys,Class 1,,8.25,3600,16.53,Low,Low,Low,Moderate,2,https://www.14ers.com/route.php?route=torr5
Front,Standard,Pikes Peak,East Slopes,Class 1,,24.00,7600,11.99,Low,Low,Low,Moderate,0,https://www.14ers.com/route.php?route=pikeeast
Front,Standard,Mt. Evans,West Ridge from Summit Lake,Class 2,,5.50,2000,13.77,Moderate,Moderate,Moderate,Moderate,0,https://www.14ers.com/route.php?route=evan2
Front,Standard,Mt. Bierstadt,West Slopes,Class 2,,7.25,2850,14.89,Low,Moderate,Low,Low,0,https://www.14ers.com/route.php?route=bier1
Front,Standard,Mt. Bierstadt,Bierstadt+Sawtooth+Evans,Class 3,,10.25,3900,14.41,Considerable,Considerable,Considerable,High,0,https://www.14ers.com/route.php?route=bier4
Front,Standard,Longs Peak,Keyhole Route,Class 3,,14.50,5100,13.32,High,Considerable,Considerable,High,0,https://www.14ers.com/route.php?route=long1
Tenmile,Standard,Quandary Peak,East Ridge,Class 1,,6.75,3450,19.36,Low,Low,Low,Low,1,https://www.14ers.com/route.php?route=quan1
Mosquito,Standard,Mt. Bross,West Slopes,Class 2,,3.25,2250,26.22,Moderate,Moderate,Low,Low,2,https://www.14ers.com/route.php?route=bros2
Mosquito,Standard,Mt. Democrat,East Slope,Class 2,,4.00,2150,20.36,Moderate,Moderate,Low,Low,2,https://www.14ers.com/route.php?route=demo1
Mosquito,Standard,Mt. Cameron,West Ridge,Class 2,,4.75,2250,17.94,Moderate,Moderate,Low,Low,2,https://www.14ers.com/route.php?route=came1
Mosquito,Standard,Mt. Sherman,Southwest Ridge,Class 2,,5.25,2100,15.15,Moderate,Moderate,Low,Low,2,https://www.14ers.com/route.php?route=sher1
Mosquito,Standard,Mt. Lincoln,West Ridge,Class 2,,6.00,2600,16.41,Moderate,Moderate,Low,Low,2,https://www.14ers.com/route.php?route=linc1
Mosquito,Standard,Mt. Lincoln,Democrat+Cameron+Lincoln+Bross,Class 2,,7.50,3700,18.69,Moderate,Moderate,Low,Moderate,2,https://www.14ers.com/route.php?route=bros6
Sawatch,Standard,Mt. Elbert,Northeast Ridge,Class 1,,9.75,4500,17.48,Low,Low,Low,Low,1,https://www.14ers.com/route.php?route=elbe1
Sawatch,Standard,Mt. Princeton,East Slopes,Class 2,,6.50,3200,18.65,Moderate,Moderate,Low,Moderate,3,https://www.14ers.com/route.php?route=prin1
Sawatch,Standard,Huron Peak,Northwest Slopes,Class 2,,7.00,3500,18.94,Moderate,Moderate,Low,Low,3,https://www.14ers.com/route.php?route=huro1
Sawatch,Standard,Mt. Belford,Northwest Ridge,Class 2,,8.00,4500,21.31,Low,Moderate,Low,Moderate,1,https://www.14ers.com/route.php?route=belf1
Sawatch,Standard,Mt. Shavano,East Slopes,Class 2,,9.00,4600,19.36,Moderate,Moderate,Low,Moderate,2,https://www.14ers.com/route.php?route=shav1
Sawatch,Standard,La Plata Peak,Northwest Ridge,Class 2,,9.25,4500,18.43,Moderate,Moderate,Low,Moderate,0,https://www.14ers.com/route.php?route=lapl1
Sawatch,Standard,Mt. Yale,Southwest Slopes,Class 2,,9.50,4300,17.15,Moderate,Moderate,Low,Moderate,0,https://www.14ers.com/route.php?route=yale1
Sawatch,Standard,Missouri Mountain,Northwest Ridge,Class 2,,10.50,4500,16.23,Considerable,Considerable,Low,Moderate,1,https://www.14ers.com/route.php?route=miss1
Sawatch,Standard,Tabeguache Peak,Via Mt. Shavano,Class 2,,11.00,5600,19.28,Moderate,Moderate,Moderate,Considerable,2,https://www.14ers.com/route.php?route=tabe2
Sawatch,Standard,Mt. Oxford,Via Mt. Belford,Class 2,,11.00,5900,20.32,Moderate,Moderate,Low,Considerable,1,https://www.14ers.com/route.php?route=oxfo2
Sawatch,Standard,Mt. Columbia,West Slopes,Class 2,,12.00,4250,13.42,Moderate,Considerable,Moderate,Moderate,2,https://www.14ers.com/route.php?route=colu2
Sawatch,Standard,Mt. of the Holy Cross,North Ridge,Class 2,,12.00,5600,17.68,Moderate,Moderate,Moderate,Considerable,1,https://www.14ers.com/route.php?route=holy1
Sawatch,Standard,Mt. Harvard,South Slopes,Class 2,,14.00,4600,12.45,Moderate,Moderate,Low,Moderate,2,https://www.14ers.com/route.php?route=harv1
Sawatch,Standard,Mt. Massive,East Slopes,Class 2,,14.50,4500,11.76,Moderate,Moderate,Moderate,Moderate,1,https://www.14ers.com/route.php?route=mass1
Sawatch,Standard,Mt. Antero,West Slopes,Class 2,,15.50,5200,12.71,Moderate,Moderate,Low,Moderate,4,https://www.14ers.com/route.php?route=ante1
Elk,Standard,Castle Peak,Northeast Ridge,Difficult Class 2,,13.50,4600,12.91,Considerable,Considerable,Considerable,Considerable,4,https://www.14ers.com/route.php?route=cast1
Elk,Standard,Conundrum Peak,South Ridge,Difficult Class 2,,13.50,4400,12.35,Considerable,Considerable,Moderate,Moderate,4,https://www.14ers.com/route.php?route=conu1
Elk,Standard,Castle Peak,Castle and Conundrum,Difficult Class 2,,14.50,4850,12.67,Considerable,Considerable,Considerable,Considerable,4,https://www.14ers.com/route.php?route=cast4
Elk,Standard,Maroon Peak,South Ridge,Class 3,,12.00,4800,15.15,High,High,Extreme,Extreme,0,https://www.14ers.com/route.php?route=maro1
Elk,Standard,Snowmass Mountain,East Slopes,Class 3,,22.00,5800,9.99,High,Considerable,Considerable,High,1,https://www.14ers.com/route.php?route=snow1
Elk,Standard,Pyramid Peak,Northeast Ridge,Class 4,,8.25,4500,20.66,High,High,High,High,0,https://www.14ers.com/route.php?route=pyra1
Elk,Standard,North Maroon Peak,Northeast Ridge,Class 4,,9.25,4500,18.43,High,High,High,High,0,https://www.14ers.com/route.php?route=nmar2
Elk,Standard,Capitol Peak,Northeast Ridge,Class 4,,17.00,5300,11.81,High,High,High,Extreme,3,https://www.14ers.com/route.php?route=capi1
San Juan,Standard,Handies Peak,Southwest Slopes,Class 1,,5.75,2500,16.47,Moderate,Low,Low,Low,3,https://www.14ers.com/route.php?route=hand1
San Juan,Standard,San Luis Peak,Northeast Ridge,Class 1,,13.50,3600,10.10,Low,Low,Low,Low,2,https://www.14ers.com/route.php?route=sanl1
San Juan,Standard,Uncompahgre Peak,South Ridge,Class 2,,7.50,3000,15.15,Moderate,Considerable,Moderate,Moderate,4,https://www.14ers.com/route.php?route=unco1
San Juan,Standard,Redcloud Peak,Northeast Ridge,Class 2,,9.00,3700,15.57,Moderate,Moderate,Low,Low,3,https://www.14ers.com/route.php?route=redc1
San Juan,Standard,Sunshine Peak,Via Redcloud Peak,Class 2,,12.25,4800,14.84,Moderate,Moderate,Low,Considerable,3,https://www.14ers.com/route.php?route=suns2
San Juan,Standard,Windom Peak,West Ridge,Difficult Class 2,,6.00,3000,18.94,Considerable,Considerable,Moderate,Moderate,0,https://www.14ers.com/route.php?route=wind1
San Juan,Standard,Mt. Sneffels,South Slopes,Easy Class 3,,6.00,2900,18.31,Considerable,Considerable,Moderate,Moderate,3,https://www.14ers.com/route.php?route=snef1
San Juan,Standard,North Eolus,South Ridge,Class 3,,0.20,250,47.35,Considerable,Moderate,Moderate,Moderate,0,https://www.14ers.com/route.php?route=neol4
San Juan,Standard,Mt. Eolus,Northeast Ridge,Class 3,,6.00,3100,19.57,High,Considerable,Considerable,Considerable,0,https://www.14ers.com/route.php?route=eolu3
San Juan,Standard,Wetterhorn Peak,Southeast Ridge,Class 3,,7.00,3300,17.86,High,Considerable,Considerable,Considerable,4,https://www.14ers.com/route.php?route=wett1
San Juan,Standard,Wilson Peak,Southwest Ridge,Class 3,,10.00,3900,14.77,High,Considerable,Considerable,Considerable,3,https://www.14ers.com/route.php?route=wils1
San Juan,Standard,El Diente Peak,North Slopes,Class 3,,15.00,5000,12.63,Considerable,Considerable,High,Considerable,1,https://www.14ers.com/route.php?route=eldi3
San Juan,Standard,Sunlight Peak,South Face,Class 4,,6.00,3000,18.94,Extreme,Considerable,Considerable,Considerable,0,https://www.14ers.com/route.php?route=sunl2
San Juan,Standard,Mt. Wilson,North Slopes,Class 4,,16.00,5100,12.07,High,High,High,Considerable,1,https://www.14ers.com/route.php?route=mwil2
Sangres,Standard,Culebra Peak,Northwest Ridge,Class 2,,5.00,2700,20.45,Moderate,Moderate,Moderate,Moderate,3,https://www.14ers.com/route.php?route=cule1
Sangres,Standard,Humboldt Peak,West Ridge,Class 2,,11.00,4200,14.46,Moderate,Moderate,Moderate,Low,4,https://www.14ers.com/route.php?route=humb1
Sangres,Standard,Challenger Point,North Slope,Difficult Class 2,,13.50,5400,15.15,Considerable,Considerable,Considerable,Moderate,2,https://www.14ers.com/route.php?route=chal1
Sangres,Standard,Blanca Peak,Northwest Ridge,Difficult Class 2,,17.00,6500,14.48,Considerable,Considerable,Moderate,Moderate,6,https://www.14ers.com/route.php?route=blan1
Sangres,Standard,Ellingwood Point,South Face,Difficult Class 2,,17.00,6200,13.81,Considerable,Considerable,Considerable,Moderate,6,https://www.14ers.com/route.php?route=elli2
Sangres,Standard,Mt. Lindsey,Northwest Gully,Easy Class 3,,8.25,3500,16.07,Considerable,Considerable,Considerable,Moderate,3,https://www.14ers.com/route.php?route=lind1
Sangres,Standard,Kit Carson Peak,Via Challenger Point,Easy Class 3,,15.00,6250,15.78,Considerable,Considerable,Considerable,Considerable,2,https://www.14ers.com/route.php?route=kitc2
Sangres,Standard,Crestone Peak,South Face,Class 3,,14.00,5700,15.42,High,Considerable,Considerable,Considerable,4,https://www.14ers.com/route.php?route=cpea2
Sangres,Standard,Crestone Needle,South Face,Class 4,,12.00,4400,13.89,High,Considerable,High,Considerable,4,https://www.14ers.com/route.php?route=cnee1
Sangres,Standard,Little Bear Peak,West Ridge and Southwest Face,Class 4,,14.00,6200,16.77,High,Extreme,High,High,6,https://www.14ers.com/route.php?route=litt6
